i_config,Idx_souris,souris,n_pixels,n_regions,pVar_max,pVar_finale,chi2_min,chi2_final,runtime_sec,status,error,save_path
0,0,M387-6,80,6,0.606437212309576,0.6063659320941137,1.5802374441955767,1.5807119568672323,980.3039071559906,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config0_M387-6_pix80_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
1,0,M387-6,80,6,0.7395158857747393,0.7395158857747393,1.1557478569200064,1.1557478569200064,976.646470785141,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config1_M387-6_pix80_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
2,0,M387-6,100,6,0.5344821386023708,0.5304255144916667,1.8739717248662007,1.9062828143657076,607.0933439731598,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config2_M387-6_pix100_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
3,0,M387-6,100,6,0.6308831158414594,0.6308831158414594,1.6413514205534345,1.6508484153904757,609.3454740047455,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config3_M387-6_pix100_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
4,0,M387-6,150,6,0.4027140565455325,0.3977705345224495,3.334482281253855,3.3781249851032404,299.1993157863617,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config4_M387-6_pix150_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
5,0,M387-6,150,6,0.499590521487856,0.499590521487856,3.1246729162089713,3.1246729162089713,296.4865710735321,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config5_M387-6_pix150_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
6,0,M387-6,200,6,0.2886835250185865,0.2886835250185865,3.7310355307214054,3.7310355307214054,198.66122794151306,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config6_M387-6_pix200_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
7,0,M387-6,200,6,0.35188871405960787,0.34663640434861087,3.8611949786503743,3.9041018730577033,199.72191214561462,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config7_M387-6_pix200_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
8,1,M396-6,80,6,0.6663080839688997,0.6663080839688997,1.7880477099809442,1.7880477099809442,1139.0973632335663,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config8_M396-6_pix80_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
9,1,M396-6,80,6,0.776420150200805,0.776420150200805,1.0646351246219505,1.0646351246219505,1139.4263718128204,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config9_M396-6_pix80_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
10,1,M396-6,100,6,0.6248045091365033,0.6248045091365033,2.9250675004446287,2.9418299417327973,754.6416490077972,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config10_M396-6_pix100_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
11,1,M396-6,100,6,0.7133734183355771,0.7125600962648628,2.0910397909017284,2.0910397909017284,755.9603109359741,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config11_M396-6_pix100_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
12,1,M396-6,150,6,0.4662974629410851,0.4661102499597476,5.2928735584144775,5.2928735584144775,351.29232001304626,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config12_M396-6_pix150_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
13,1,M396-6,150,6,0.5535711691759406,0.5476593039197246,4.242959388732359,4.3148762558344815,351.9886260032654,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config13_M396-6_pix150_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
14,1,M396-6,200,6,0.37054616338727697,0.36096829926052487,6.281236180564261,6.375509297404399,228.28541016578674,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config14_M396-6_pix200_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
15,1,M396-6,200,6,0.45068159750618764,0.43793436500765004,5.103851272288637,5.2767720484010745,231.27686619758606,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config15_M396-6_pix200_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
16,2,M410-6,80,6,0.69797147399943,0.69797147399943,1.837240339535175,1.837240339535175,1231.4544100761414,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config16_M410-6_pix80_sigma2_dffFalse_globalregTrue_nRunTrain1000.pkl"
17,2,M410-6,80,6,0.8057656130208862,0.8057656130208862,1.0725088567732515,1.0725088567732515,1228.590313911438,done,,"Petits n_pixels, gros nRunfree, mais pas 10/run_du_2026-06-25_23h12/config17_M410-6_pix80_sigma3_dffFalse_globalregTrue_nRunTrain1000.pkl"
