i_config,souris,Idx_souris,n_pixels,lissage_sigma,use_dff,use_global_regression,nRunTrain,n_regions,min_region_size,median_region_size,max_region_size,pVar_final,chi2_final,pVar_max,chi2_min,runtime_sec,status,error
0,M387-6,0,50,0,False,False,100,656,7,50.0,74,,,,,9.534211158752441,interrupted,KeyboardInterrupt
1,M387-6,0,50,0,False,True,100,656,7,50.0,74,0.4251248538822592,1.9694672676054283,0.4251248538822592,1.9694672676054283,268.2882330417633,success,
2,M387-6,0,50,0,True,False,100,656,7,50.0,74,0.38773136161853006,5.2417449360379775,0.38773136161853006,5.2417449360379775,251.0107991695404,success,
3,M387-6,0,50,0,True,True,100,656,7,50.0,74,0.4505917950771742,1.8814423148299873,0.4505917950771742,1.8814423148299873,251.20742177963257,success,
4,M387-6,0,50,1,False,False,100,656,7,50.0,74,0.47649495154386745,3.0842994200639353,0.48247351851567233,2.9961147330756988,252.71659302711487,success,
5,M387-6,0,50,1,False,True,100,656,7,50.0,74,0.5470110097536448,1.4645200200301656,0.5470110097536448,1.4645200200301656,262.8179461956024,success,
6,M387-6,0,50,1,True,False,100,656,7,50.0,74,0.5024837723647902,3.650199198681757,0.5062424948014019,3.6300438572173768,249.41672086715698,success,
7,M387-6,0,50,1,True,True,100,656,7,50.0,74,0.5519496516620366,1.2648814338768546,0.5519496516620366,1.2648814338768546,249.10123491287231,success,
8,M387-6,0,50,2,False,False,100,656,7,50.0,74,0.6737125846651566,1.884862609536081,0.6773808318339987,1.8658697318761428,250.9700050354004,success,
9,M387-6,0,50,2,False,True,100,656,7,50.0,74,0.693174298542754,1.0955286950302823,0.709116955117501,1.0412185435050094,253.49239897727966,success,
10,M387-6,0,50,2,True,False,100,656,7,50.0,74,0.6858198168598224,2.4804750283560075,0.6858198168598224,2.4804750283560075,250.57064199447632,success,
11,M387-6,0,50,2,True,True,100,656,7,50.0,74,-19.239763095797077,85.05179555290799,0.7175926127457981,0.8656147883057317,253.62203693389893,success,
12,M387-6,0,50,3,False,False,100,656,7,50.0,74,-10.620901147359179,86.65775697723276,0.7797296465668926,1.2080934303455995,250.11365485191345,success,
13,M387-6,0,50,3,False,True,100,656,7,50.0,74,0.8204041900751203,0.6906882333011376,0.8204041900751203,0.6906882333011376,249.6055290699005,success,
14,M387-6,0,50,3,True,False,100,656,7,50.0,74,0.8008774575382429,1.5474190578669946,0.8008774575382429,1.5474190578669946,251.45223712921143,success,
15,M387-6,0,50,3,True,True,100,656,7,50.0,74,0.8142982172907209,0.6117413307704487,0.8142982172907209,0.6117413307704487,251.45022988319397,success,
16,M387-6,0,100,0,False,False,100,330,41,99.0,159,0.12462858777823804,6.854104407316086,0.18480117433403787,6.46874935699486,63.303115129470825,success,
17,M387-6,0,100,0,False,True,100,330,41,99.0,159,0.2823174292493946,2.944527054997018,0.2823174292493946,2.944527054997018,63.49398922920227,success,
18,M387-6,0,100,0,True,False,100,330,41,99.0,159,0.19002631934096925,9.192018903129497,0.1906427212122802,9.174957049755788,63.955495834350586,success,
19,M387-6,0,100,0,True,True,100,330,41,99.0,159,0.25163420918175816,3.079437481656905,0.25163420918175816,3.079437481656905,63.85256028175354,success,
20,M387-6,0,100,1,False,False,100,330,41,99.0,159,0.28963157924772465,5.137687344983401,0.2940421030424769,5.094233327893001,62.400606870651245,success,
21,M387-6,0,100,1,False,True,100,330,41,99.0,159,0.33393675677756385,2.6101678480580546,0.33393675677756385,2.6101678480580546,63.26764678955078,success,
22,M387-6,0,100,1,True,False,100,330,41,99.0,159,0.30843979117063935,7.2768909825599755,0.30843979117063935,7.2768909825599755,63.85579800605774,success,
23,M387-6,0,100,1,True,True,100,330,41,99.0,159,0.3469458052621458,2.677615007894329,0.3469458052621458,2.677615007894329,63.33211612701416,success,
24,M387-6,0,100,2,False,False,100,330,41,99.0,159,0.4689366650906609,3.7552357970699632,0.4689366650906609,3.726559869379377,62.80717706680298,success,
25,M387-6,0,100,2,False,True,100,330,41,99.0,159,0.44676007853218225,2.316067561359027,0.44676007853218225,2.316067561359027,62.51221704483032,success,
26,M387-6,0,100,2,True,False,100,330,41,99.0,159,0.47106663557437234,5.434609666712663,0.47106663557437234,5.434609666712663,63.9968147277832,success,
27,M387-6,0,100,2,True,True,100,330,41,99.0,159,0.454839738967981,2.1470051861024673,0.454839738967981,2.1470051861024673,64.16894888877869,success,
28,M387-6,0,100,3,False,False,100,330,41,99.0,159,0.5559528079025225,3.191944388160785,0.5559528079025225,3.191944388160785,62.7941529750824,success,
29,M387-6,0,100,3,False,True,100,330,41,99.0,159,0.5538016867941504,2.068769488596677,0.5538016867941504,2.068769488596677,63.44297218322754,success,
30,M387-6,0,100,3,True,False,100,330,41,99.0,159,0.5696391695010135,4.720945810817161,0.5877772600176507,4.455711049989965,63.008848905563354,success,
31,M387-6,0,100,3,True,True,100,330,41,99.0,159,0.5339917258339273,2.0552702725664695,0.5339917258339273,2.0552702725664695,63.31807994842529,success,
32,M387-6,0,200,0,False,False,100,167,96,196.0,258,0.07365854226423563,9.49623300169271,0.08991122983549804,9.43169943490154,21.49689292907715,success,
33,M387-6,0,200,0,False,True,100,167,96,196.0,258,0.12687700665949087,4.47728761331898,0.13211994203388988,4.474674851873616,21.863996982574463,success,
34,M387-6,0,200,0,True,False,100,167,96,196.0,258,-0.009733805715642418,12.135318631914362,0.019891197633212676,12.027173921460792,21.956525087356567,success,
35,M387-6,0,200,0,True,True,100,167,96,196.0,258,0.14017576813173116,4.492863901739485,0.14017576813173116,4.492863901739485,22.15444779396057,success,
36,M387-6,0,200,1,False,False,100,167,96,196.0,258,0.12058636727684868,8.067390422142328,0.1266475489311396,7.961683733643933,21.699666023254395,success,
37,M387-6,0,200,1,False,True,100,167,96,196.0,258,0.18732143844357507,3.873393866713165,0.18732143844357507,3.873393866713165,22.117319345474243,success,
38,M387-6,0,200,1,True,False,100,167,96,196.0,258,0.0916745814322707,9.915606936577067,0.14701976960819396,9.430296645346072,22.21204400062561,success,
39,M387-6,0,200,1,True,True,100,167,96,196.0,258,0.1898688929857133,3.4020106717715413,0.1898688929857133,3.4020106717715413,22.204368829727173,success,
