label,pkl,mouse,n_pixels,n_subregions,nRunTrain,pVar_finale,output_npz,figure_png
mouse410_pix50_N764_train1000_pVar-110.161,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/narval_visual_rnn_trace_g10_sigma23_410_415_ntrain1000/1604053/config000_C9_M6_mouse410_n_pixels50_lissage_sigma2_tauRNN0.33_dtFactor2_g1_ampInWN0.01_P01_nRunTrain1000_use_global_regressionFalse.pkl,410,50,764,1000,-110.16146538020774,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar-110.161/curbd_currents_total.npz,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar-110.161/curbd_currents_matrix.png
mouse410_pix50_N764_train1000_pVar0.558,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/narval_scout_article_like_amp001_g08_g12_sigma4_410_415_ntrain1000/1708980/config000_C9_M6_mouse410_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.001_P01_nRunTrain1000_use_global_regressionFalse.pkl,410,50,764,1000,0.5575068674409975,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar0.558/curbd_currents_total.npz,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar0.558/curbd_currents_matrix.png
mouse410_pix50_N764_train1000_pVar0.594,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/narval_scout_article_like_amp001_g08_g12_sigma4_410_415_ntrain1000/1708980/config001_C9_M6_mouse410_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g1.2_ampInWN0.001_P01_nRunTrain1000_use_global_regressionFalse.pkl,410,50,764,1000,0.5936725352725588,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar0.594/curbd_currents_total.npz,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar0.594/curbd_currents_matrix.png
mouse410_pix50_N764_train1000_pVar0.759,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/narval_visual_rnn_trace_410_415_ntrain1000/1557715/config001_C9_M6_mouse410_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain1000_use_global_regressionTrue.pkl,410,50,764,1000,0.7591187187331752,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar0.759/curbd_currents_total.npz,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar0.759/curbd_currents_matrix.png
mouse410_pix50_N764_train1000_pVar0.785,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/narval_visual_rnn_trace_g10_sigma23_410_415_ntrain1000/1604053/config001_C9_M6_mouse410_n_pixels50_lissage_sigma3_tauRNN0.33_dtFactor2_g1_ampInWN0.01_P01_nRunTrain1000_use_global_regressionFalse.pkl,410,50,764,1000,0.7850846098781998,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar0.785/curbd_currents_total.npz,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar0.785/curbd_currents_matrix.png
mouse410_pix50_N764_train1000_pVar0.828,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/narval_visual_rnn_trace_410_415_ntrain1000/1557715/config000_C9_M6_mouse410_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain1000_use_global_regressionFalse.pkl,410,50,764,1000,0.827981188443462,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar0.828/curbd_currents_total.npz,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix50_N764_train1000_pVar0.828/curbd_currents_matrix.png
mouse410_pix35_N1089_train300_pVar0.883,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/narval_scout_npixels25_35_g08_sigma4_410_415_ntrain300/1708976/config001_C9_M6_mouse410_n_pixels35_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain300_use_global_regressionFalse.pkl,410,35,1089,300,0.8828274526163951,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix35_N1089_train300_pVar0.883/curbd_currents_total.npz,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix35_N1089_train300_pVar0.883/curbd_currents_matrix.png
mouse410_pix25_N1524_train100_pVar0.897,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/narval_scout_tiny_npixels15_20_25_g08_sigma4_410_415_ntrain100/2142708/config002_C9_M6_mouse410_n_pixels25_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain100_use_global_regressionFalse.pkl,410,25,1524,100,0.8967334776894984,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix25_N1524_train100_pVar0.897/curbd_currents_total.npz,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix25_N1524_train100_pVar0.897/curbd_currents_matrix.png
mouse410_pix20_N1903_train100_pVar0.917,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/narval_scout_tiny_npixels15_20_25_g08_sigma4_410_415_ntrain100/2142708/config001_C9_M6_mouse410_n_pixels20_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain100_use_global_regressionFalse.pkl,410,20,1903,100,0.9169915573878644,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix20_N1903_train100_pVar0.917/curbd_currents_total.npz,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix20_N1903_train100_pVar0.917/curbd_currents_matrix.png
mouse410_pix25_N1524_train300_pVar0.925,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/narval_scout_npixels25_35_g08_sigma4_410_415_ntrain300/1708976/config000_C9_M6_mouse410_n_pixels25_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain300_use_global_regressionFalse.pkl,410,25,1524,300,0.9247240801926003,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix25_N1524_train300_pVar0.925/curbd_currents_total.npz,/Users/pierre-luclarouche/Documents/Codex/2026-08-19/yo/Maitrise_PLL_shallow/results/curbd_currents_mouse410/mouse410_pix25_N1524_train300_pVar0.925/curbd_currents_matrix.png
