i_config,cohort,month,mouse,n_pixels,n_subregions,n_parent_regions,fps,dtData,dtFactor,dtRNN,alpha_dt_tau,lissage_sigma_frames,lissage_sigma_sec,lissage_fwhm_sec,tauRNN,g,P0,tauWN,ampInWN,nRunTrain,nRunFree,use_global_regression,compute_curbd,fraction_clip_pos,fraction_clip_neg,pVar_max,pVar_finale,chi2_min,chi2_final,pVar_max_train,pVar_train_end,pVar_free_mean,pVar_free_std,pVar_free_min,pVar_free_final,chi2_min_train,chi2_train_end,chi2_free_mean,chi2_free_std,chi2_free_min,chi2_free_final,duration_sec,runtime_sec,status,error,save_path,lissage_sigma,atlas_clean_size,atlas_clean_min_fraction,gsr_label,combo
143,7,6,387,50,533,6,12.0,0.0833333333333333,2,0.0416666666666666,0.1262626262626262,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,True,False,3.257244110902648e-07,0.0,0.6453598499364138,0.6453598499364138,6.79183382490456,6.79183382490456,0.6441932680889573,0.6441932680889573,0.6453598499364138,0.0,0.6453598499364138,0.6453598499364138,6.812872162367614,6.812872162367614,6.79183382490456,0.0,6.79183382490456,6.79183382490456,480.0,2154.770560741425,done,,results/narval_screening_preprocessing_m6/1506925/config143_C7_M6_mouse387_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionTrue.pkl,4,5,0.25,GSR ON,pix 50 | sigma 4 | GSR ON
3,3,6,316,50,635,6,12.0,0.0833333333333333,2,0.0416666666666666,0.1262626262626262,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,True,False,2.7340332458442694e-07,0.0,0.6837828421626289,0.682720058899388,5.6254759407113895,5.646623173406674,0.6837828421626289,0.6822287930848578,0.682720058899388,0.0,0.682720058899388,0.682720058899388,5.6254759407113895,5.653003616603672,5.646623173406674,0.0,5.646623173406674,5.646623173406674,480.0,3679.758327722549,done,,results/narval_screening_preprocessing_m6/1506925/config003_C3_M6_mouse316_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionTrue.pkl,4,5,0.25,GSR ON,pix 50 | sigma 4 | GSR ON
122,6,6,374,50,666,6,12.0,0.0833333333333333,2,0.0416666666666666,0.1262626262626262,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,False,False,2.6067734401067736e-07,0.0,0.7050978460819887,0.704295618927826,12.755000978462895,12.89195329290107,0.7050978460819887,0.7039068662097715,0.704295618927826,0.0,0.704295618927826,0.704295618927826,12.755000978462895,12.903543207017057,12.89195329290107,0.0,12.89195329290107,12.89195329290107,480.0,4080.526410102844,done,,results/narval_screening_preprocessing_m6/1506925/config122_C6_M6_mouse374_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionFalse.pkl,4,5,0.25,GSR OFF,pix 50 | sigma 4 | GSR OFF
162,7,6,396,50,705,6,12.0,0.0833333333333333,2,0.0416666666666666,0.1262626262626262,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,False,False,2.462568951930654e-07,0.0,0.7118686375066852,0.7118686375066852,7.271016514022429,7.271016514022429,0.710939307782275,0.710939307782275,0.7118686375066852,0.0,0.7118686375066852,0.7118686375066852,7.293144984359868,7.293144984359868,7.271016514022429,0.0,7.271016514022429,7.271016514022429,480.0,5511.719445228577,done,,results/narval_screening_preprocessing_m6/1506925/config162_C7_M6_mouse396_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionFalse.pkl,4,5,0.25,GSR OFF,pix 50 | sigma 4 | GSR OFF
63,5,6,361,50,693,6,12.0,0.0833333333333333,2,0.0416666666666666,0.1262626262626262,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,True,False,5.010421677088344e-07,0.0,0.7119397585869911,0.7119397585869911,2.18749757625788,2.18749757625788,0.7113509253748442,0.7113509253748442,0.7119397585869911,0.0,0.7119397585869911,0.7119397585869911,2.1913891428060523,2.1913891428060523,2.18749757625788,0.0,2.18749757625788,2.18749757625788,480.0,5395.979547977448,done,,results/narval_screening_preprocessing_m6/1506925/config063_C5_M6_mouse361_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionTrue.pkl,4,5,0.25,GSR ON,pix 50 | sigma 4 | GSR ON
82,6,6,365,50,662,6,12.0,0.0833333333333333,2,0.0416666666666666,0.1262626262626262,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,False,False,2.622524337025848e-07,0.0,0.7282987248921359,0.7282987248921359,4.703131404235364,4.703131404235364,0.7276963867858226,0.7276963867858226,0.7282987248921359,0.0,0.7282987248921359,0.7282987248921359,4.7130490381745815,4.7130490381745815,4.703131404235364,0.0,4.703131404235364,4.703131404235364,480.0,4405.572668790817,done,,results/narval_screening_preprocessing_m6/1506925/config082_C6_M6_mouse365_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionFalse.pkl,4,5,0.25,GSR OFF,pix 50 | sigma 4 | GSR OFF
43,5,6,353,50,644,6,12.0,0.0833333333333333,2,0.0416666666666666,0.1262626262626262,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,True,False,2.695824706694272e-07,0.0,0.7355358874681434,0.7355358874681434,1.1822415814776497,1.1822415814776497,0.7350523526295554,0.7350523526295554,0.7355358874681434,0.0,0.7355358874681434,0.7355358874681434,1.184266884682032,1.184266884682032,1.1822415814776497,0.0,1.1822415814776497,1.1822415814776497,480.0,4052.194422960282,done,,results/narval_screening_preprocessing_m6/1506925/config043_C5_M6_mouse353_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionTrue.pkl,4,5,0.25,GSR ON,pix 50 | sigma 4 | GSR ON
183,7,6,397,50,762,6,12.0,0.0833333333333333,2,0.0416666666666666,0.1262626262626262,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,True,False,2.2783610382035578e-07,0.0,0.7507974152939948,0.7507974152939948,2.869053986797466,2.869053986797466,0.7501683762708605,0.7501683762708605,0.7507974152939948,0.0,0.7507974152939948,0.7507974152939948,2.8757465352427447,2.8757465352427447,2.869053986797466,0.0,2.869053986797466,2.869053986797466,480.0,6711.872916460037,done,,results/narval_screening_preprocessing_m6/1506925/config183_C7_M6_mouse397_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionTrue.pkl,4,5,0.25,GSR ON,pix 50 | sigma 4 | GSR ON
23,3,6,322,50,642,6,12.0,0.0833333333333333,2,0.0416666666666666,0.1262626262626262,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,True,False,5.408445829006577e-07,0.0,0.7519558384667899,0.7519558384667899,1.064909187053516,1.064909187053516,0.7514979684224047,0.7514979684224047,0.7519558384667899,0.0,0.7519558384667899,0.7519558384667899,1.0668391859265236,1.0668391859265236,1.064909187053516,0.0,1.064909187053516,1.064909187053516,480.0,3858.411298274994,done,,results/narval_screening_preprocessing_m6/1506925/config023_C3_M6_mouse322_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionTrue.pkl,4,5,0.25,GSR ON,pix 50 | sigma 4 | GSR ON
102,6,6,367,50,635,6,12.0,0.0833333333333333,2,0.0416666666666666,0.1262626262626262,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,False,False,2.7340332458442694e-07,0.0,0.7527749400558963,0.7527749400558963,9.01553450263603,9.01553450263603,0.7523131861687176,0.7523131861687176,0.7527749400558963,0.0,0.7527749400558963,0.7527749400558963,9.030867009962304,9.030867009962304,9.01553450263603,0.0,9.01553450263603,9.01553450263603,480.0,3316.185699224472,done,,results/narval_screening_preprocessing_m6/1506925/config102_C6_M6_mouse367_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionFalse.pkl,4,5,0.25,GSR OFF,pix 50 | sigma 4 | GSR OFF
202,8,6,409,50,706,6,12.0,0.0833333333333333,2,0.0416666666666666,0.1262626262626262,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,False,False,2.459080893925087e-07,0.0,0.7824727269942919,0.7743859349463125,5.622989313659383,5.780422427956523,0.7824727269942919,0.767503358511699,0.7743859349463125,0.0,0.7743859349463125,0.7743859349463125,5.622989313659383,5.951378318744506,5.780422427956523,0.0,5.780422427956523,5.780422427956523,480.0,5092.771539926529,done,,results/narval_screening_preprocessing_m6/1506925/config202_C8_M6_mouse409_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionFalse.pkl,4,5,0.25,GSR OFF,pix 50 | sigma 4 | GSR OFF
