i_config,cohort,month,mouse,n_pixels,n_subregions,n_parent_regions,fps,dtData,dtFactor,dtRNN,alpha_dt_tau,lissage_sigma_frames,lissage_sigma_sec,lissage_fwhm_sec,tauRNN,g,P0,tauWN,ampInWN,nRunTrain,nRunFree,use_global_regression,compute_curbd,fraction_clip_pos,fraction_clip_neg,pVar_max,pVar_finale,chi2_min,chi2_final,pVar_max_train,pVar_train_end,pVar_free_mean,pVar_free_std,pVar_free_min,pVar_free_final,chi2_min_train,chi2_train_end,chi2_free_mean,chi2_free_std,chi2_free_min,chi2_free_final,duration_sec,runtime_sec,status,error,save_path,lissage_sigma,atlas_clean_size,atlas_clean_min_fraction
0,3,6,316,50,635,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,2,0.16666666666666666,0.39249999999999996,0.33,0.8,1.0,0.1,0.01,200,5,False,False,2.7340332458442694e-07,0.0,0.5480267114209639,0.5480267114209639,13.132096270968683,13.132096270968683,0.5473165040518624,0.5472978585434544,0.5480267114209639,0.0,0.5480267114209639,0.5480267114209639,13.152033227156489,13.152033227156489,13.132096270968683,0.0,13.132096270968683,13.132096270968683,480.0,3466.2066502571106,done,,results/narval_screening_preprocessing_m6/1506925/config000_C3_M6_mouse316_n_pixels50_lissage_sigma2_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionFalse.pkl,2,5,0.25
1,3,6,316,50,635,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,2,0.16666666666666666,0.39249999999999996,0.33,0.8,1.0,0.1,0.01,200,5,True,False,2.7340332458442694e-07,0.0,0.5074676710586925,0.5074676710586925,8.090274018128182,8.090274018128182,0.5067051048166604,0.5067051048166604,0.5074676710586925,0.0,0.5074676710586925,0.5074676710586925,8.100909582639382,8.100909582639382,8.090274018128182,0.0,8.090274018128182,8.090274018128182,480.0,3308.739623069763,done,,results/narval_screening_preprocessing_m6/1506925/config001_C3_M6_mouse316_n_pixels50_lissage_sigma2_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionTrue.pkl,2,5,0.25
2,3,6,316,50,635,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,False,False,5.468066491688539e-07,0.0,0.6594481127999566,0.6594481127999566,10.259778380216444,10.259778380216444,0.6584819538177186,0.6584819538177186,0.6594481127999566,0.0,0.6594481127999566,0.6594481127999566,10.285913541628325,10.285913541628325,10.259778380216444,0.0,10.259778380216444,10.259778380216444,480.0,3357.645084142685,done,,results/narval_screening_preprocessing_m6/1506925/config002_C3_M6_mouse316_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionFalse.pkl,4,5,0.25
3,3,6,316,50,635,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,True,False,2.7340332458442694e-07,0.0,0.6837828421626289,0.682720058899388,5.6254759407113895,5.646623173406674,0.6837828421626289,0.6822287930848578,0.682720058899388,0.0,0.682720058899388,0.682720058899388,5.6254759407113895,5.653003616603672,5.646623173406674,0.0,5.646623173406674,5.646623173406674,480.0,3679.7583277225494,done,,results/narval_screening_preprocessing_m6/1506925/config003_C3_M6_mouse316_n_pixels50_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionTrue.pkl,4,5,0.25
4,3,6,316,75,424,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,2,0.16666666666666666,0.39249999999999996,0.33,0.8,1.0,0.1,0.01,200,5,False,False,4.094601677148847e-07,0.0,0.40867640032342356,0.40867640032342356,17.40029005709606,17.40029005709606,0.40796333114614136,0.40796333114614136,0.40867640032342356,0.0,0.40867640032342356,0.40867640032342356,17.419108203257583,17.419108203257583,17.40029005709606,0.0,17.40029005709606,17.40029005709606,480.0,1306.8237404823303,done,,results/narval_screening_preprocessing_m6/1506925/config004_C3_M6_mouse316_n_pixels75_lissage_sigma2_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionFalse.pkl,2,5,0.25
5,3,6,316,75,424,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,2,0.16666666666666666,0.39249999999999996,0.33,0.8,1.0,0.1,0.01,200,5,True,False,4.094601677148847e-07,0.0,0.3887946046719273,0.3887946046719273,8.7825329883573,8.7825329883573,0.38794076662210275,0.38794076662210275,0.3887946046719273,0.0,0.3887946046719273,0.3887946046719273,8.793290918839459,8.793290918839459,8.7825329883573,0.0,8.7825329883573,8.7825329883573,480.0,1324.7549486160278,done,,results/narval_screening_preprocessing_m6/1506925/config005_C3_M6_mouse316_n_pixels75_lissage_sigma2_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionTrue.pkl,2,5,0.25
6,3,6,316,75,424,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,False,False,8.189203354297694e-07,0.0,0.5227887393319222,0.5227887393319222,14.419833800972848,14.419833800972848,0.5215585879485197,0.5215585879485197,0.5227887393319222,0.0,0.5227887393319222,0.5227887393319222,14.454423992665252,14.454423992665252,14.419833800972848,0.0,14.419833800972848,14.419833800972848,480.0,1298.3971016407013,done,,results/narval_screening_preprocessing_m6/1506925/config006_C3_M6_mouse316_n_pixels75_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionFalse.pkl,4,5,0.25
7,3,6,316,75,424,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,4,0.3333333333333333,0.7849999999999999,0.33,0.8,1.0,0.1,0.01,200,5,True,False,4.094601677148847e-07,0.0,0.5275386295763629,0.5275386295763629,7.197673405867481,7.197673405867481,0.52736090327794,0.5272421825683584,0.5275386295763629,0.0,0.5275386295763629,0.5275386295763629,7.198673102171258,7.199931983917668,7.197673405867481,0.0,7.197673405867481,7.197673405867481,480.0,1353.277483701706,done,,results/narval_screening_preprocessing_m6/1506925/config007_C3_M6_mouse316_n_pixels75_lissage_sigma4_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionTrue.pkl,4,5,0.25
8,3,6,316,100,319,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,2,0.16666666666666666,0.39249999999999996,0.33,0.8,1.0,0.1,0.01,200,5,False,False,5.442354580285615e-07,0.0,0.36230953116839515,0.36230953116839515,18.62664331513463,18.62664331513463,0.36199560338793024,0.36199560338793024,0.36230953116839515,0.0,0.36230953116839515,0.36230953116839515,18.634210421873288,18.634210421873288,18.62664331513463,0.0,18.62664331513463,18.62664331513463,480.0,823.7156803607941,done,,results/narval_screening_preprocessing_m6/1506925/config008_C3_M6_mouse316_n_pixels100_lissage_sigma2_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionFalse.pkl,2,5,0.25
9,3,6,316,100,319,6,12.0,0.08333333333333333,2,0.041666666666666664,0.12626262626262624,2,0.16666666666666666,0.39249999999999996,0.33,0.8,1.0,0.1,0.01,200,5,True,False,5.442354580285615e-07,0.0,0.3196522087996777,0.3196522087996777,9.78745786924938,9.78745786924938,0.319049473819092,0.319049473819092,0.3196522087996777,0.0,0.3196522087996777,0.3196522087996777,9.794866081565965,9.794866081565965,9.78745786924938,0.0,9.78745786924938,9.78745786924938,480.0,891.4004597663879,done,,results/narval_screening_preprocessing_m6/1506925/config009_C3_M6_mouse316_n_pixels100_lissage_sigma2_tauRNN0.33_dtFactor2_g0.8_ampInWN0.01_P01_nRunTrain200_use_global_regressionTrue.pkl,2,5,0.25
